Zone,OSM ID
Millenium Industrial Estate,598120109
Indonesia-China Industrial Estate,568349989
Jababeka Industrial Estate-Cikarang,460575576
Palu Special Economic Zone,597864996
Sei Mangkei Special Economic Zone,598099836
Maloy Batuta Trans Kalimantan Special Economic Zone,597903438
Gunsan (FTZ),597908351
Busan Science (GIC),598114542
Daejuk (GIC),518421991
Gwanchang (GIC),598086230
Gumi (FIZ),468689945
Jangan1 (FIZ),598102738
Kulim Hi-Tech Free Zone,598129255
Port Klang Free Zone,597925552
PTP Free Zone,180657424
Batu Kawan Industrial Park,383469793
Bukit Minyak Industrial Park,385215811
TECO Industrial Park,366830995
Cebu South Road Properties,597926764
Sta. Maria Industrial Park,346683956
Filinvest Technology Park - Calamba,218847698
First Oriental SEZ,598114912
Hermosa Ecozone Industrial Park,297131617
Cavite Economic Zone II,41335111
Golden Mile Business Park,234243655
TFD Industrial Estate,597922410
Northern Region Free Industrial Zone,597923593
Hemaraj Eastern (Map Ta Phut),169074566
Bim Son Industrial Zone (A),598122602
Linh Trung EPZ 3,597927155
Dong Van II Industrial Zone,597852036
Nhon Trach V Industrial Park,366493800
Dinh Tram Industrial Zone,597865634
Quang Minh I Industrial Park,597870255
Que Vo I Industrial Zone,597872887
Dai An Industrial Zone,597896810
Hoa Cam Industrial Park,586970040
Long Thanh Industrial Park,533435643
Thuan Dao Industrial Park,597902555
Pho Noi A Industrial Zone,595840992
Tan Truong Industrial Zone,597911424
Do Son Industrial Zone,597913808
Long My Industrial Park,597914635
Tra Noc 2 Industrial Zone,597916915
Thaco Industrial Park,584370682
Chon Thanh I Industrial Zone,597919509
Dong Xoai I Industrial Zone,597920108
Tan Huong Industrial Zone,597920253
Que Vo Ii Industrial Zone,597920929
Viet Huong 2 Industrial Zone,597922147
Binh Xuyen Industrial Zone,596051726
Dai Dang Industrial Zone,597924025
Dong Xoai I Industrial Zone,
Kim Huy Industrial Zone,597925817
Khai Quang Industrial Zone,596051675
Long Binh An Industrial Zone,597926587
Minh Duc Industrial Zone,598142077
My Xuan A Industrial Zone,317515592
My Xuan A2 Industrial Zone,319538030
